problem,test,base,stat,p,A12,median_diff,p_holm,outcome
CantileverBeam,HHO,LSHADE,0.0,5.960464477539063e-08,1.0,0.19901742069392814,1.609325408935547e-05,loss
CantileverBeam,HHO,CMAES,0.0,5.960464477539063e-08,1.0,0.19901742069392814,1.609325408935547e-05,loss
CantileverBeam,HHO,RS,0.0,5.960464477539063e-08,0.004799999999999968,-1.1904554283783186,1.609325408935547e-05,win
CantileverBeam,AOA,DE,0.0,5.960464477539063e-08,1.0,0.004870548754739432,1.609325408935547e-05,loss
CantileverBeam,AOA,PSO,0.0,5.960464477539063e-08,1.0,0.0048635986039196385,1.609325408935547e-05,loss
CantileverBeam,AOA,LSHADE,0.0,5.960464477539063e-08,1.0,0.004870548754739432,1.609325408935547e-05,loss
CantileverBeam,AOA,CMAES,0.0,5.960464477539063e-08,1.0,0.004870548754739432,1.609325408935547e-05,loss
CantileverBeam,AOA,RS,0.0,5.960464477539063e-08,0.0,-1.3846023003175074,1.609325408935547e-05,win
GearTrain,GWO,DE,23.0,0.005352647641336175,0.7464,2.4553825268882408,0.5192068212096089,tie
GearTrain,GWO,PSO,8.0,0.038461234091176424,0.368,0.0,1.0,tie
GearTrain,GWO,LSHADE,11.0,0.0005893859337112937,0.8168000000000001,10.0,0.06306429490710842,tie
GearTrain,GWO,CMAES,21.5,0.08045417553458524,0.3592,0.0,1.0,tie
GearTrain,GWO,RS,16.5,0.13341366493088005,0.35040000000000004,0.0,1.0,tie
GearTrain,WOA,DE,6.5,9.21612513812302e-05,0.9016,2.4553825268882408,0.010506382657460244,loss
GearTrain,WOA,PSO,13.5,0.47950012218695337,0.54,0.0,1.0,tie
GearTrain,WOA,LSHADE,0.0,2.3812127494011972e-05,0.9359999999999999,10.0,0.0029765159367514966,loss
GearTrain,WOA,CMAES,5.0,0.4795001221869535,0.5224,0.0,1.0,tie
GearTrain,WOA,RS,4.0,0.33628879040286896,0.5048,0.0,1.0,tie
GearTrain,SCA,DE,21.0,0.0002497515741849456,0.8968,2.4553825268882408,0.027722424734528964,loss
GearTrain,SCA,PSO,10.5,0.5270892568655381,0.5559999999999999,0.0,1.0,tie
GearTrain,SCA,LSHADE,8.5,4.8909374269215347e-05,0.9256,10.0,0.005771306163767411,loss
GearTrain,SCA,CMAES,8.0,0.5886881339518899,0.5384,0.0,1.0,tie
GearTrain,SCA,RS,3.0,0.4614509878333607,0.5207999999999999,0.0,1.0,tie
GearTrain,SSA,DE,7.0,6.553596356450928e-05,0.8887999999999999,2.4553825268882408,0.007602171773483077,loss
GearTrain,SSA,PSO,12.0,0.7054569861112734,0.52,0.0,1.0,tie
GearTrain,SSA,LSHADE,0.0,1.906209928928356e-05,0.9280000000000002,10.0,0.0024399487090282957,loss
